"cont","accX","accY","accZ","gyroX","gyroY","gyroZ","millis","id"
6566,9062,4528,440,-86,-2754,1716,797915,"1"
6567,9454,4908,872,78,-3280,2437,797925,"1"
6568,9926,5276,1424,181,-3989,3403,797935,"1"
6569,10194,5642,2080,120,-4803,4514,797945,"1"
6570,10208,5862,2782,-107,-5607,5321,797955,"1"
6566,11226,12854,848,228,440,-1314,805440,"2"
6567,10876,13332,1180,-1091,232,-1133,805450,"2"
6568,10702,13662,1186,-2514,-25,-888,805460,"2"
6569,10436,13830,1350,-3513,-460,-706,805470,"2"
6570,10252,14124,1566,-4147,-858,-678,805480,"2"
6571,10362,6190,3574,-536,-6250,5836,797965,"1"
6572,10558,6342,4274,-990,-6692,6032,797975,"1"
6573,10632,6334,4628,-1264,-7218,6179,797985,"1"
6574,10718,6428,4864,-1348,-7832,6642,797995,"1"
6575,10796,6724,4638,-1141,-8339,7358,798005,"1"
6571,10066,14388,1620,-4583,-1363,-716,805490,"2"
6572,10090,14704,1714,-4782,-1926,-688,805500,"2"
6573,10130,14998,1860,-4683,-2512,-625,805510,"2"
6574,10426,15298,1860,-4439,-3096,-383,805520,"2"
6575,10790,15382,1752,-4161,-3738,-12,805530,"2"
6576,10524,7330,4350,-757,-8914,8145,798015,"1"
6577,10100,8098,4152,-224,-9571,8679,798025,"1"
6578,9678,8876,4124,331,-10109,9143,798035,"1"
6579,9172,9412,4332,870,-10471,9608,798045,"1"
6580,8600,9948,4576,1470,-11019,9895,798055,"1"
6576,11150,15312,1632,-3803,-4450,410,805540,"2"
6577,11516,15174,1430,-3432,-5117,973,805550,"2"
6578,11804,14960,1030,-3339,-5684,1676,805560,"2"
6579,11650,14790,598,-3622,-6248,2421,805570,"2"
6580,11626,14520,302,-4102,-6671,2885,805580,"2"
6581,8298,10598,4950,1910,-11884,9717,798065,"1"
6582,7868,11052,5262,2154,-13023,8716,798075,"1"
6583,7562,11318,5854,1835,-14086,7015,798085,"1"
6584,6914,11240,6496,888,-14854,4908,798095,"1"
6585,6180,11038,7048,-429,-15437,2490,798105,"1"
6581,11538,14398,44,-4773,-7039,3253,805590,"2"
6582,11206,14306,-400,-5564,-7382,3519,805600,"2"
6583,11002,14346,-718,-6542,-7646,3785,805610,"2"
6584,10802,14366,-1006,-7629,-7715,3977,805620,"2"
6585,10460,14408,-1428,-8667,-7763,4122,805630,"2"
6586,5552,10442,7610,-1594,-15943,-140,798115,"1"
6587,5412,9722,8108,-2175,-15892,-2726,798125,"1"
6588,5104,9038,8220,-2461,-15056,-4514,798135,"1"
6589,4852,8518,7854,-2446,-13871,-5269,798145,"1"
6590,4950,7988,7440,-2106,-12396,-5123,798155,"1"
6586,10196,14434,-1666,-9548,-7723,4176,805640,"2"
6587,10032,14550,-2032,-10279,-7464,4317,805650,"2"
6588,9876,14658,-2384,-10949,-7364,4476,805660,"2"
6589,9976,14728,-2684,-11536,-7097,4504,805670,"2"
6590,10004,14758,-3060,-11978,-6830,4588,805680,"2"
6591,10184,14674,-3342,-12310,-6571,4605,805690,"2"
6592,10310,14520,-3464,-12435,-6432,4577,805700,"2"
6593,10498,14294,-3544,-12305,-6153,4480,805710,"2"
6594,10624,14094,-3506,-11805,-5960,4243,805720,"2"
6595,10908,13872,-3468,-11020,-5982,3918,805730,"2"
6591,5176,7622,6860,-1375,-10602,-4438,798165,"1"
6592,5384,7398,6192,-496,-8794,-3377,798175,"1"
6593,5652,7256,5594,617,-7102,-2006,798185,"1"
6594,6176,7254,5124,2252,-5599,-896,798195,"1"
6595,6178,7188,4436,4136,-4326,14,798205,"1"
6596,6176,7140,3900,5317,-3119,1339,798215,"1"
6597,6322,6824,3706,6061,-1796,2732,798225,"1"
6598,6340,6450,3516,6706,-631,4012,798235,"1"
6599,6456,6272,3386,7167,158,5073,798245,"1"
6600,6588,6104,3168,7430,754,5922,798255,"1"
6596,11106,13628,-3476,-10192,-5877,3590,805740,"2"
6597,11326,13472,-3460,-9362,-5999,3268,805750,"2"
6598,11596,13398,-3530,-8452,-5953,2954,805760,"2"
6599,11764,13260,-3408,-7512,-6181,2681,805770,"2"
6600,11976,13104,-3412,-6682,-6188,2488,805780,"2"
6601,6522,5798,3202,7474,1292,6760,798265,"1"
6602,6604,5586,3098,7528,1760,7599,798275,"1"
6603,6834,5600,3066,7452,2090,8314,798285,"1"
6604,6910,5622,2964,7174,2145,8803,798295,"1"
6605,6950,5644,2914,6702,1917,9085,798305,"1"
6601,12160,12952,-3446,-5855,-6451,2310,805790,"2"
6602,12218,12850,-3504,-5322,-6443,2245,805800,"2"
6603,12272,12728,-3528,-4895,-6358,2119,805810,"2"
6604,12436,12448,-3420,-4570,-6169,1884,805820,"2"
6605,12598,12198,-3232,-4344,-6181,1653,805830,"2"
6606,6880,5790,3012,6187,1614,9292,798315,"1"
6607,6986,5900,3204,6073,1375,9019,798325,"1"
6608,6662,6172,2772,5732,1068,8747,798335,"1"
6609,6580,6370,2716,5432,967,8704,798345,"1"
6610,6696,6560,2758,5390,1108,8670,798355,"1"
6606,12774,12078,-3222,-4227,-6204,1458,805840,"2"
6607,12896,12180,-3198,-4189,-6498,1333,805850,"2"
6608,12980,12222,-3446,-4117,-6615,1259,805860,"2"
6609,13044,12222,-3524,-3876,-6757,1185,805870,"2"
6610,13064,12240,-3528,-3514,-6551,1246,805880,"2"
6611,6682,6792,2786,5360,1200,8650,798365,"1"
6612,6694,7040,2942,5120,1025,8731,798375,"1"
6613,6704,7230,3358,4795,820,8653,798385,"1"
6614,6632,7436,3710,4321,620,8346,798395,"1"
6615,6354,7718,4060,3571,295,7842,798405,"1"
6611,13074,12190,-3752,-3138,-6168,1224,805890,"2"
6612,13018,12062,-3648,-2786,-6158,1096,805900,"2"
6613,12992,11830,-3534,-2325,-6143,855,805910,"2"
6614,12968,11796,-3466,-1827,-6218,638,805920,"2"
6615,12794,11914,-3486,-1369,-6170,395,805930,"2"
6616,6066,7934,4496,2623,-82,7041,798415,"1"
6617,5798,7994,4804,1488,-385,6187,798425,"1"
6618,5598,8096,5188,514,-738,5187,798435,"1"
6619,5668,8274,5408,66,-1247,3810,798445,"1"
6620,5404,8600,5324,-393,-1738,2594,798455,"1"
6616,12666,11990,-3704,-926,-6171,229,805940,"2"
6617,12614,12192,-3774,-577,-5913,130,805950,"2"
6618,12596,12238,-3814,-171,-5852,39,805960,"2"
6619,12524,12238,-3786,368,-5653,-9,805970,"2"
6620,12532,12282,-3822,952,-5322,54,805980,"2"
6621,5310,8906,5528,-735,-1975,1470,798465,"1"
6622,5124,9314,5916,-919,-2020,276,798475,"1"
6623,4916,9482,6306,-995,-1889,-635,798485,"1"
6624,4908,9492,6800,-983,-1536,-1219,798495,"1"
6625,4912,9306,7074,-793,-852,-1473,798505,"1"
6621,12384,12170,-3960,1471,-4941,65,805990,"2"
6622,12102,11978,-3938,1941,-4521,-38,806000,"2"
6623,11842,11706,-3902,2306,-4043,-147,806010,"2"
6624,11636,11528,-3860,2612,-3485,-333,806020,"2"
6625,11450,11402,-3926,3005,-2979,-622,806030,"2"
6626,4894,9104,7294,-509,-175,-1484,798515,"1"
6627,5086,9074,7364,-307,567,-1542,798525,"1"
6628,5372,9058,7298,-349,1147,-1714,798535,"1"
